n	wpId	dateText	title	secondaryKeywords	rawCandidateTags	summary	textStart
1	49619	April 22, 2026	Bad Bible Jokes.  (And do you have any?)	Genesis; Joseph; Abel; Cain	hebrew-bible; public-forum	I’m visiting my daughter and her family up in New Hampshire just now, and the 16 year-old is reading A Children’s Bible, a novel by Pulitzer Prize finalist Lydia Millet, for her English class. But it’s filled with biblical allusions from the book of Genesis and elsewhere, so over dinner last night I decided it was time to tell some Bible jokes.	Bad Bible Jokes. (And do you have any?) April 22, 2026 I’m visiting my daughter and her family up in New Hampshire just now, and the 16 year-old is reading A Children’s Bible, a novel by Pulitzer Prize finalist Lydia Millet, for her English class. But it’s filled with biblical allusions from the book of Genesis and elsewhere, so over dinner last night I decided it was time to tell some Bible jokes. You hear a lot of these if you go to Bible college, trust me. And maybe otherwise! Here are four o
2	48903	February 8, 2026	The Second Coming (Yeats)		jesus; new-testament; blog-news; public-forum	It is impossible to understand, let alone appreciate, many aspects of modern culture (“high” culture — art, music, poetry, fiction, etc.) without a relatively deep knowledge of the Christian tradition going back to the New Testament itself.	The Second Coming (Yeats) February 8, 2026 It is impossible to understand, let alone appreciate, many aspects of modern culture (“high” culture — art, music, poetry, fiction, etc.) without a relatively deep knowledge of the Christian tradition going back to the New Testament itself. I repeatedly tell my students this — becoming religiously literate in the western tradition is not simply for those who are religious, or are committed the Christian faith in particular, or are even just curious abou
3	48876	February 7, 2026	About Work Habits and Productivity…	Job	new-testament; early-christianity; forgery-authorship; blog-news; public-forum	Now that I have retired from UNC (but not from anything else!) I’ve had several people ask me about my personal work habits.	About Work Habits and Productivity… February 7, 2026 Now that I have retired from UNC (but not from anything else!) I’ve had several people ask me about my personal work habits. In reply to the most recent query from a blog member, I remembered I wrote a post about them some years ago. Looking back (and looking now), I don’t necessarily recommend my approach. More than a bit excessive, and I’ve eased up a good deal! But, if you like getting a lot done…. Here’s what I said then, in the first year
4	48567	December 28, 2025	Alphabet Soup of the New Testament: Guest Post by James F. McGrath	James; Matthew; Mark; Jesus; Moses	jesus; gospels; new-testament; hebrew-bible; forgery-authorship; reader-questions; history-of-biblical-scholarship	Here now is the second guest post of James McGrath on his book that provides an introduction to New Testament scholarship for people who are not, will not be, and possibly never would dream of being New Testament scholars. The full title and subtitle give a great sense of what it is all about: The A to Z of the New Testament: Things Experts Know That Everyone Else Should Too.	Alphabet Soup of the New Testament: Guest Post by James F. McGrath December 28, 2025 Here now is the second guest post of James McGrath on his book that provides an introduction to New Testament scholarship for people who are not, will not be, and possibly never would dream of being New Testament scholars. The full title and subtitle give a great sense of what it is all about: The A to Z of the New Testament: Things Experts Know That Everyone Else Should Too. Here now is his fuller explanation. 
5	48438	December 21, 2025	Comics from My Office Door		public-forum	I’ve just moved out of it — I’ve had it for 37 years! And these were the last things to take down.	Comics from My Office Door December 21, 2025 Here are some of my favorite comics — pinned to my office door for many years. I’ve just moved out of it — I’ve had it for 37 years! And these were the last things to take down. I’ve always especially like the last one here. De-Parting is such sweet sorrow…
6	48339	December 10, 2025	If It Is All Matter, Why Should It Matter?		public-forum	On Saturday I was sitting in a comfortable chair in front of a large window with a nice cup of coffee watching the sun slowly rise. I was in a contemplative mood, not dwelling on the quotidian duties bound to occupy me in the hours ahead, but thinking about some of the Big Issues in life, or at least in my life.	If It Is All Matter, Why Should It Matter? December 10, 2025 On Saturday I was sitting in a comfortable chair in front of a large window with a nice cup of coffee watching the sun slowly rise. I was in a contemplative mood, not dwelling on the quotidian duties bound to occupy me in the hours ahead, but thinking about some of the Big Issues in life, or at least in my life. I had two thoughts that I’d like to pass along. At the time I wondered if they were possibly, but not necessarily, standing a
7	47159	April 7, 2025	Do We Have the Lord’s Supper All Wrong?  Platinum Post by Douglas Wadeson MD	Jesus; Mark; Paul; 1 Corinthians; Prophets; Jeremiah; John; 1 Corinthians 11:23-26; Mark 14:22; Jeremiah 5:31; Jeremiah 23:11; Jeremiah 7:22; Mark 1:4; Hosea 6:6; Matthew 9:13; Matthew 12:7; Mark 7:14; Matthew 15:1; John the Baptist	jesus; gospels; paul; hebrew-bible; early-christianity; roman-world; judaism; blog-news	Do We Have the Lord’s Supper All Wrong?	Do We Have the Lord’s Supper All Wrong? Platinum Post by Douglas Wadeson MD April 7, 2025 Scholars debate whether the apostle Paul invented the Lord’s Supper (aka the Eucharist or Communion) or merely inherited it from earlier disciples. Here is what he says: For I received from the Lord that which I also delivered to you, that the Lord Jesus in the night in which He was betrayed took bread; and when He had given thanks, He broke it and said, “This is My body, which is for you; do this in rememb
8	47061	January 22, 2025	The Flukes of Life: How I Almost Never Became a Professor	Job; Didymus the Blind; Gospel of John; Paul	gospels; paul; new-testament; textual-criticism; miracles; blog-news; reflections-ruminations	This is now my 40th year of teaching at a university, 36 of the years at UNC Chapel Hill and 4 before that at Rutgers as a 28 year old. It very nearly didn’t happen at all.	The Flukes of Life: How I Almost Never Became a Professor January 22, 2025 This is now my 40th year of teaching at a university, 36 of the years at UNC Chapel Hill and 4 before that at Rutgers as a 28 year old. It very nearly didn’t happen at all. Life is so strange. I was on the job market while I was writing my dissertation.. And even though there were job openings, I couldn’t get an interview to save my soul. Part of the problem was that my PhD was from a theological seminary, and a lot of th
9	47042	January 9, 2025	Other Critical Approaches to the New Testament (by Prof. Shaily Patel)	Jesus; John	jesus; gospels; new-testament; early-christianity; resurrection; suffering-evil; heaven-hell; roman-world	Most of my textbook approaches the New Testament from a historical and traditional literary point of view. But there are many other approaches that one can take to the Bible or any other writing.	Other Critical Approaches to the New Testament (by Prof. Shaily Patel) January 9, 2025 Most of my textbook approaches the New Testament from a historical and traditional literary point of view. But there are many other approaches that one can take to the Bible or any other writing. In recent decades other theoretical forms of analysis have developed and fruitfully employed by scholars. I decided to say something about these theoretical approaches in my book so students would be informed about th
10	47041	January 8, 2025	Getting the Bible Digitally (by Jeffrey Siker)	Early Christian Writings; Rise of Christianity; Roman World; Paul	paul; new-testament; hebrew-bible; early-christianity; textual-criticism; canon; roman-world; judaism	In my textbook, The New Testament: A Historical Introduction to the Early Christian Writings (now in the 8th ed. , co-authored with Hugo Mendez), another feature I rather like are several “excursuses” on key issues I chose not to deal with in the text itself.	Getting the Bible Digitally (by Jeffrey Siker) January 8, 2025 In my textbook, The New Testament: A Historical Introduction to the Early Christian Writings (now in the 8th ed., co-authored with Hugo Mendez), another feature I rather like are several “excursuses” on key issues I chose not to deal with in the text itself. A couple of these were written by other scholars in the field, including this important one on Digital Bibles by my friend and occasional blog-contributor Jeff Siker. Jeff is on 
