"title","url","date","author","categories","originalTags","candidateTags","summary","wordCount","sourceArchive"
"Did the Doctrine of Predestination Lead to Capitalism?","https://ehrmanblog.org/did-the-doctrine-of-predestination-lead-to-capitalism/","June 3, 2026","BDEhrman","public-forum","","heaven-hell; church-history; public-forum","In my previous post I gave a brief overview of the doctrine of predestination, especially as developed by the great 16th century Protestant Reformer John Calvin and his followers. I ended the post by indicating – surely this is a surprise for many people – that one of the most interesting and formative understandings of modern capitalism is that its has it can be traced back in its origins to Protestant views of predestination.","1327","https://ehrmanblog.org/2026/06/"
"Predestination!  What do you think?","https://ehrmanblog.org/predestination-what-do-you-think/","June 2, 2026","BDEhrman","public-forum","","jesus; gospels; paul; new-testament; heaven-hell; roman-world; church-history; public-forum","What do you think of the idea of predestination? That only those who have been predestined by God (from eternity past) can be saved: but not anyone else.","1041","https://ehrmanblog.org/2026/06/"
"Doesn’t Goodness Point to the Existence of God?  And Gospel Perplexities.  Good Readers’ Questions","https://ehrmanblog.org/doesnt-goodness-point-to-the-existence-of-god-and-gospel-preplexities-good-readers-questoins/","May 31, 2026","BDEhrman","readers-questions","","jesus; gospels; new-testament; textual-criticism; forgery-authorship; resurrection; miracles; martyrdom","Doesn’t Goodness Point to the Existence of God? And Gospel Perplexities.","1470","https://ehrmanblog.org/2026/05/"
"Did the Glories of Martyrdom Lead to Christian Conversions?","https://ehrmanblog.org/did-the-glories-of-martyrdom-lead-to-christian-conversions/","May 30, 2026","BDEhrman","public-forum","","jesus; early-christianity; miracles; martyrdom; suffering-evil; heaven-hell; roman-world; public-forum","Some think that, in contrast to miracles & martyrdom, the fear of perpetual torment in hell may be what drove the early growth of Christianity. After all, who WOULDN’T want to avoid eternal fiery torture?","1153","https://ehrmanblog.org/2026/05/"
"June 2026 Gold Q&A Announcement","https://ehrmanblog.org/june-2026-gold-qa-announcement/","May 29, 2026","jennao","public-forum","gold; platinum","gospels; paul; reader-questions; blog-news; public-forum","Gold and Platinum Members, a new month is quickly approaching, which means it’s time to schedule our next Q&A. It will take place on Sunday June 21st at 2pm Eastern.","221","https://ehrmanblog.org/2026/05/"
"The Fear of Hell as an Incentive to Convert","https://ehrmanblog.org/the-fear-of-hell-as-an-incentive-to-convert/","May 28, 2026","BDEhrman","public-forum","","jesus; early-christianity; textual-criticism; forgery-authorship; miracles; suffering-evil; heaven-hell; roman-world","Miracles converted millions of people to the Christian faith in the ancient world. What about the fear of hell?","1185","https://ehrmanblog.org/2026/05/"
"Was Augustine Telling the Truth About Miracles He’d Seen?","https://ehrmanblog.org/was-augustine-telling-the-truth-about-miracles-hed-seen/","May 27, 2026","BDEhrman","public-forum","","jesus; gospels; paul; new-testament; early-christianity; apocrypha; forgery-authorship; resurrection","Miracles seem to be everywhere in the early Christian literature, and it is striking how insistent all these ancient sources are it was precisely the wonder-working abilities of the Christians in the name of Christ and the Christian God that convinced potential converts to leave the religious traditions that nearly everyone around them had and had had for time immemorial to join this bizarre new faith in only one God who would provide salvation only to those who believed in the death and resurre","840","https://ehrmanblog.org/2026/05/"
"Biographical Accounts of Early Christian Miracles (Based on Eyewitnesses!)","https://ehrmanblog.org/biographical-accounts-of-early-christian-miracles-based-on-eyewitnesses/","May 26, 2026","BDEhrman","early-christian-writings; spread-christianity","","jesus; early-christianity; textual-criticism; miracles; christology; heaven-hell; roman-world; early-christian-writings","Miracles convert! Whether they happen or not.","1176","https://ehrmanblog.org/2026/05/"
"And the Miracles Just Keep on Comin’","https://ehrmanblog.org/and-the-miracles-just-keep-on-comin/","May 24, 2026","BDEhrman","spread-christianity","","jesus; gospels; paul; new-testament; early-christianity; apocrypha; resurrection; miracles","More on conversions coming from miracle stories — as reported by Christians, in their later legendary tales. You might object (or probably will object) that if these tales are legendary, they don’t show how people actually converted.","1673","https://ehrmanblog.org/2026/05/"
"How Could Christian Miracles Convert the Empire if Miracles Don’t Happen?","https://ehrmanblog.org/how-could-christian-miracles-convert-the-empire-if-miracles-dont-happen/","May 23, 2026","BDEhrman","spread-christianity","","new-testament; early-christianity; forgery-authorship; miracles; roman-world; spread-christianity","I’ve been arguing that Christians eventually converted the Roman empire because of their great miracles. But, well, I’m an atheist and I don’t believe in miracles.","634","https://ehrmanblog.org/2026/05/"
"Why Christian Miracles Converted the Empire","https://ehrmanblog.org/49814-2/","May 21, 2026","BDEhrman","spread-christianity","","jesus; gospels; paul; new-testament; early-christianity; apocrypha; resurrection; miracles","In previous posts I’ve given some of the common explanations people given to explain how Christianity ended up taking over the Roman world, all of which seem plausible (Christians attracted people because of their community life, better health care, etc) but, in my view, not sufficiently supported by the existing evidence. I’ve also I’ve indicated that I have a decided view of the matter: that it was because of Christian “miracles.","1304","https://ehrmanblog.org/2026/05/"
"Superior Health Care as an Explanation for the Spread of Christianity?","https://ehrmanblog.org/superior-health-care-as-an-explanation-for-the-spread-of-christianity/","May 20, 2026","BDEhrman","spread-christianity","","jesus; new-testament; early-christianity; miracles; roman-world; church-history; blog-news; spread-christianity","One modern explanation for why Christianity overcame all the pagan religions of the Roman world is that it provided better health care than anyone else, leading to its greater survival rate. I have to admit, when I first read about this, I thought “Whoa!","931","https://ehrmanblog.org/2026/05/"
"A Modern “Common Sense” About What Made Christianity Attractive to Converts","https://ehrmanblog.org/a-modern-common-sense-about-what-made-christianity-attractive-to-converts/","May 19, 2026","BDEhrman","spread-christianity","","jesus; early-christianity; forgery-authorship; resurrection; miracles; heaven-hell; roman-world; judaism","I have pretty clear ideas about what it was about Christianity that made pagans want to convert to the faith, so that over the course of 300 years Christianity went from something like 20 people who believed Christ’s death is the only thing that could bring salvation (right after his immediate disciples came to think he had been raised from the dead) to some 5,000,000 around the time Constantine joined the church.","1092","https://ehrmanblog.org/2026/05/"
"What an Ancient Enemy of Christianity Said About Why It Was Successful","https://ehrmanblog.org/what-an-ancient-enemy-of-christianity-said-about-why-it-was-successful/","May 17, 2026","BDEhrman","spread-christianity","","jesus; gospels; paul; early-christianity; martyrdom; roman-world; spread-christianity","On very rare occasions, pagan opponents of Christianity during the first three centuries commented on the movement, and in one case at least, explain why it was having some success in converting people. Here is what I say about it in Triumph of Christianity (Simon & Schuster, 2018), lightly edited here.","1110","https://ehrmanblog.org/2026/05/"
"How Did Christianity Succeed?  An Older View That Many People Still Have","https://ehrmanblog.org/how-did-christianity-succeed-an-older-view-that-many-people-still-have/","May 16, 2026","BDEhrman","spread-christianity","","early-christianity; miracles; roman-world; church-history; spread-christianity","How Did Christianity Succeed?","894","https://ehrmanblog.org/2026/05/"
"Do You Know The Golden Ass?   (Is a Mystery Religion like Christianity?)","https://ehrmanblog.org/do-you-know-the-golden-ass-is-a-mystery-religion-like-christianity/","May 14, 2026","BDEhrman","greco-roman-religions-and-culture","","heaven-hell; roman-world; blog-news; greco-roman-religions-and-culture","Do You Know The Golden Ass? (Is a Mystery Religion like Christianity?)","1419","https://ehrmanblog.org/2026/05/"
"Christianity:  A Weirdly Exclusivist Religion","https://ehrmanblog.org/christianity-a-weirdly-exclusivist-religion/","May 13, 2026","BDEhrman","public-forum; spread-christianity","","jesus; new-testament; roman-world; judaism; public-forum; spread-christianity","In my previous post dealing with how Christianity managed to take over the Roman empire, I stressed its two highly unusual (and therefore — to outsiders — weird) aspects that in tandem ended up more or less destroying all the other religions: their stress on evangelism and their insistence on exclusivity. It’s not that every Christian evangelized or that all Christians completely gave up all their other religious traditions, but enough did that it led to the Christianization of the West.","1211","https://ehrmanblog.org/2026/05/"
"Some Important Readers’ Questions on Some Gospel Head-Scratchers","https://ehrmanblog.org/some-important-readers-questions-on-some-gospel-head-scratchers/","May 12, 2026","BDEhrman","canonical-gospels","","jesus; gospels; new-testament; textual-criticism; forgery-authorship; resurrection; miracles; martyrdom","If the strongest explanation for Luke’s alteration/omission of the centurion’s declaration that Jesus was the Son of God at the crucifixion is that he wants to anchor Jesus’s divine sonship at least as early as his birth, then why does he later associate that same divine sonship AND innocence with Jesus’s death and resurrection in Acts 13? Luke is combining a variety of early traditions that are at odds at WHEN it happened in order to stress that he really WAS the Son of God.","972","https://ehrmanblog.org/2026/05/"
"How Early Christians Made Converts.  (Tent revivals?)","https://ehrmanblog.org/how-early-christians-made-converts-tent-revivals/","May 10, 2026","BDEhrman","spread-christianity","","jesus; paul; new-testament; early-christianity; roman-world; spread-christianity","Did Christians hold massive evangelistic rallies? Is that how they converted the Roman world?","1044","https://ehrmanblog.org/2026/05/"
