title,url,date,wordCount,legacyCategories,legacyTags,controlledTags,needsTagReview
Did the Doctrine of Predestination Lead to Capitalism?,https://ehrmanblog.org/did-the-doctrine-of-predestination-lead-to-capitalism/,"June 3, 2026",1327,public-forum,,church-history; faith-doubt-belief,False
Predestination!  What do you think?,https://ehrmanblog.org/predestination-what-do-you-think/,"June 2, 2026",1041,public-forum,,church-history; faith-doubt-belief,False
Doesn’t Goodness Point to the Existence of God?  And Gospel Perplexities.  Good Readers’ Questions,https://ehrmanblog.org/doesnt-goodness-point-to-the-existence-of-god-and-gospel-preplexities-good-readers-questoins/,"May 31, 2026",1470,readers-questions,,canonical-gospels; faith-doubt-belief; reader-questions,False
Did the Glories of Martyrdom Lead to Christian Conversions?,https://ehrmanblog.org/did-the-glories-of-martyrdom-lead-to-christian-conversions/,"May 30, 2026",1153,public-forum,,martyrdom-persecution,False
June 2026 Gold Q&A Announcement,https://ehrmanblog.org/june-2026-gold-qa-announcement/,"May 29, 2026",221,public-forum,gold; platinum,blog-community,False
The Fear of Hell as an Incentive to Convert,https://ehrmanblog.org/the-fear-of-hell-as-an-incentive-to-convert/,"May 28, 2026",1185,public-forum,,afterlife; spread-of-christianity,False
Was Augustine Telling the Truth About Miracles He’d Seen?,https://ehrmanblog.org/was-augustine-telling-the-truth-about-miracles-hed-seen/,"May 27, 2026",840,public-forum,,church-history; miracles,False
Biographical Accounts of Early Christian Miracles (Based on Eyewitnesses!),https://ehrmanblog.org/biographical-accounts-of-early-christian-miracles-based-on-eyewitnesses/,"May 26, 2026",1176,early-christian-writings; spread-christianity,,early-christianity; spread-of-christianity; miracles,False
And the Miracles Just Keep on Comin’,https://ehrmanblog.org/and-the-miracles-just-keep-on-comin/,"May 24, 2026",1673,spread-christianity,,spread-of-christianity; miracles,False
How Could Christian Miracles Convert the Empire if Miracles Don’t Happen?,https://ehrmanblog.org/how-could-christian-miracles-convert-the-empire-if-miracles-dont-happen/,"May 23, 2026",634,spread-christianity,,greco-roman-world; spread-of-christianity; miracles,False
Why Christian Miracles Converted the Empire,https://ehrmanblog.org/49814-2/,"May 21, 2026",1304,spread-christianity,,greco-roman-world; spread-of-christianity; miracles,False
Superior Health Care as an Explanation for the Spread of Christianity?,https://ehrmanblog.org/superior-health-care-as-an-explanation-for-the-spread-of-christianity/,"May 20, 2026",931,spread-christianity,,spread-of-christianity,False
